status_type,status_published,num_reactions,num_comments,num_shares
video,1/26/2018 8:47,206,259,48
video,1/25/2018 8:40,362,468,86
video,1/23/2018 9:04,184,130,51
video,1/22/2018 9:37,216,251,34
video,1/22/2018 9:15,57,0,0
video,1/21/2018 9:10,272,258,43
video,1/20/2018 23:10,248,247,34
video,1/20/2018 9:08,132,89,40
video,1/19/2018 9:16,226,341,41
video,1/19/2018 9:06,35,1,0
video,1/18/2018 8:54,219,316,36
video,1/18/2018 5:08,94,1,1
video,1/17/2018 9:29,259,368,50
video,1/16/2018 22:36,62,1,0
video,1/16/2018 22:13,127,76,21
video,1/16/2018 0:53,149,63,15
video,1/13/2018 9:18,134,171,41
video,1/11/2018 9:05,392,461,47
video,1/10/2018 8:57,310,540,41
photo,1/2/2018 23:05,14,3,0
photo,12/26/2017 6:23,293,6,1
photo,12/24/2017 10:28,236,12,0
photo,12/21/2017 8:14,312,10,0
photo,12/10/2017 23:28,24,12,0
link,12/8/2017 2:37,16,9,0
photo,12/7/2017 6:41,33,12,0
photo,12/5/2017 1:25,675,10,0
photo,12/4/2017 8:28,737,18,0
photo,12/3/2017 1:40,572,16,0
photo,11/22/2017 22:14,23,7,0
photo,11/21/2017 1:37,266,25,0
video,11/21/2017 0:22,378,512,30
video,11/18/2017 22:32,421,709,30
video,11/18/2017 1:23,1493,1979,753
photo,11/16/2017 0:01,76,17,0
photo,11/9/2017 0:32,36,11,0
photo,11/2/2017 21:22,19,8,0
photo,10/30/2017 23:46,27,10,0
photo,10/26/2017 12:02,117,2,53
photo,10/26/2017 11:53,146,1,0
photo,10/25/2017 22:45,166,0,13
photo,10/25/2017 22:29,190,0,31
photo,10/24/2017 3:55,217,16,0
photo,10/24/2017 1:20,458,14,0
photo,10/23/2017 3:52,553,15,0
photo,10/23/2017 3:23,203,18,11
photo,10/22/2017 0:38,1005,25,1
video,10/21/2017 23:43,202,145,23
photo,10/21/2017 3:19,428,14,0
photo,10/20/2017 6:37,479,17,0
video,10/20/2017 3:19,212,116,11
video,10/19/2017 2:44,225,157,17
video,10/18/2017 9:13,171,46,5
video,10/18/2017 2:33,247,120,16
video,10/17/2017 5:37,269,453,39
video,10/17/2017 2:36,258,486,32
photo,10/17/2017 1:47,109,2,1
photo,10/16/2017 22:47,97,5,0
video,10/16/2017 6:37,280,199,25
video,10/16/2017 5:25,325,77,21
photo,10/15/2017 22:58,51,11,0
video,10/15/2017 2:27,280,825,47
video,10/14/2017 10:37,688,0,0
video,10/14/2017 3:35,365,805,46
photo,10/12/2017 21:43,295,5,0
photo,10/11/2017 22:21,27,14,0
photo,10/6/2017 8:04,15,11,0
photo,10/4/2017 23:19,16,12,0
photo,10/1/2017 3:31,29,12,0
video,10/1/2017 1:05,28,6,0
photo,9/28/2017 23:21,8,8,0
photo,9/28/2017 0:12,10,9,0
photo,9/26/2017 22:39,39,8,0
photo,9/25/2017 22:52,49,11,0
video,9/24/2017 1:58,226,449,37
video,9/24/2017 1:52,104,49,13
photo,9/23/2017 3:56,251,17,0
video,9/23/2017 0:09,244,589,48
video,9/22/2017 8:48,252,558,41
video,9/21/2017 8:22,121,15,4
photo,9/21/2017 1:50,321,5,0
photo,9/21/2017 0:26,103,8,3
video,9/20/2017 23:43,136,31,16
video,9/20/2017 21:25,337,247,27
photo,9/20/2017 9:47,648,13,0
video,9/20/2017 0:19,175,157,14
video,9/19/2017 7:39,339,424,36
photo,9/19/2017 6:44,341,3,0
video,9/19/2017 0:40,177,131,27
photo,9/13/2017 3:48,201,0,0
photo,9/12/2017 22:34,43,7,0
photo,9/11/2017 6:14,40,7,0
photo,9/7/2017 22:52,58,14,0
video,9/7/2017 4:21,403,525,42
photo,9/7/2017 2:02,148,4,3
photo,9/6/2017 23:14,150,24,2
photo,9/6/2017 7:33,53,12,0
status,9/6/2017 6:22,144,15,8
video,9/6/2017 3:48,298,491,46
photo,9/6/2017 2:02,171,4,1
photo,9/3/2017 5:39,4410,633,257
video,8/31/2017 8:50,374,588,46
photo,8/30/2017 8:38,181,20,0
photo,8/27/2017 9:46,267,20,1
photo,8/27/2017 4:54,60,7,0
photo,8/25/2017 7:36,98,23,5
video,8/25/2017 2:29,26,7,0
photo,8/24/2017 2:18,255,18,0
photo,8/23/2017 6:15,174,6,1
photo,8/22/2017 10:59,64,5,1
photo,8/22/2017 10:32,62,3,0
video,8/22/2017 1:40,192,417,40
photo,8/22/2017 0:09,110,18,6
photo,8/22/2017 0:08,119,12,7
photo,8/20/2017 4:41,42,11,0
video,8/19/2017 23:14,234,355,34
photo,8/18/2017 11:35,54,10,0
photo,8/18/2017 11:33,82,8,0
photo,8/18/2017 8:36,18,8,0
photo,8/15/2017 9:58,147,17,7
photo,8/15/2017 9:31,80,8,0
video,8/14/2017 7:41,299,564,42
photo,8/12/2017 2:40,629,11,1
photo,8/11/2017 20:41,69,2,0
video,8/11/2017 0:27,219,110,17
photo,8/10/2017 23:39,30,2,0
photo,8/10/2017 9:17,65,1,0
photo,8/10/2017 3:03,161,7,0
video,8/10/2017 1:24,398,605,30
photo,8/9/2017 5:14,47,7,0
photo,8/9/2017 1:45,182,3,4
video,8/8/2017 22:24,317,158,32
video,8/8/2017 5:13,571,888,107
photo,8/7/2017 9:18,16,10,0
photo,8/6/2017 1:08,30,9,0
photo,8/6/2017 0:36,57,7,0
photo,8/5/2017 1:44,74,6,3
video,8/3/2017 4:50,368,911,50
photo,8/3/2017 4:31,19,3,0
photo,8/2/2017 22:18,176,3,0
photo,8/2/2017 6:02,133,7,0
photo,8/2/2017 2:54,162,6,2
video,8/1/2017 23:33,734,996,73
status,8/1/2017 0:57,42,16,9
status,7/31/2017 9:50,33,6,3
video,7/28/2017 1:10,29,6,1
photo,7/27/2017 22:48,43,6,0
photo,7/27/2017 8:08,14,6,0
video,7/26/2017 9:01,475,574,48
photo,7/25/2017 23:18,50,8,2
photo,7/25/2017 22:46,94,23,6
video,7/22/2017 8:50,303,34,3
photo,7/22/2017 7:08,168,7,1
photo,7/21/2017 23:32,248,14,0
photo,7/21/2017 8:52,422,6,0
photo,7/21/2017 4:20,189,3,0
photo,7/21/2017 2:59,390,17,2
photo,7/20/2017 23:30,618,28,0
photo,7/20/2017 8:59,191,2,2
video,7/18/2017 7:53,321,1381,67
photo,7/16/2017 2:18,364,7,2
photo,7/13/2017 0:11,51,10,0
video,7/12/2017 7:59,282,524,38
photo,7/9/2017 7:26,369,14,1
photo,7/8/2017 8:41,138,16,6
photo,7/5/2017 9:15,96,9,1
photo,7/4/2017 5:55,186,11,0
photo,7/4/2017 1:30,487,15,0
video,7/3/2017 23:23,282,19,4
photo,6/26/2017 4:06,383,8,1
photo,6/25/2017 11:49,216,0,1
photo,6/25/2017 9:47,48,0,0
video,6/25/2017 7:42,885,462,26
photo,6/25/2017 7:02,185,11,1
photo,6/25/2017 4:58,259,1,1
photo,6/25/2017 2:48,299,9,0
photo,6/24/2017 23:41,199,9,1
photo,6/24/2017 4:34,717,40,1
photo,6/22/2017 6:34,155,2,0
photo,6/21/2017 4:15,293,8,0
photo,6/18/2017 11:48,243,6,0
photo,6/13/2017 23:17,264,2,0
photo,6/13/2017 1:31,313,3,0
photo,6/12/2017 9:38,208,1,0
photo,6/12/2017 9:33,216,0,0
photo,6/12/2017 5:08,247,6,0
photo,6/12/2017 1:38,152,1,0
photo,6/11/2017 7:04,387,3,0
photo,6/10/2017 8:19,178,9,0
photo,6/10/2017 6:00,218,4,0
photo,6/10/2017 1:08,270,3,0
photo,6/8/2017 9:26,351,4,1
photo,6/8/2017 5:29,232,0,2
photo,6/8/2017 5:22,252,3,0
photo,6/8/2017 3:27,122,0,0
photo,6/7/2017 7:28,209,4,0
photo,6/7/2017 2:36,305,5,1
photo,6/5/2017 6:43,71,10,2
photo,5/30/2017 1:21,290,12,0
photo,5/21/2017 23:05,67,6,3
photo,5/21/2017 5:53,783,11,0
photo,5/14/2017 3:14,77,2,0
video,5/13/2017 3:21,22,0,0
photo,5/12/2017 4:17,103,0,0
video,5/11/2017 3:55,32,0,2
photo,5/10/2017 22:46,239,5,2
photo,5/10/2017 2:48,111,6,0
video,5/8/2017 9:57,51,0,1
video,5/8/2017 9:42,34,4,0
link,5/5/2017 23:27,15,0,0
video,5/5/2017 5:12,75,0,5
photo,5/4/2017 8:07,177,2,0
photo,5/4/2017 0:29,520,8,0
photo,5/2/2017 10:11,134,2,0
photo,5/2/2017 8:50,228,1,1
video,5/1/2017 0:35,498,254,17
photo,4/29/2017 0:40,166,5,2
video,4/27/2017 3:14,272,265,20
photo,4/27/2017 2:23,127,7,1
photo,4/26/2017 8:35,30,0,0
link,4/26/2017 0:11,33,1,1
photo,4/22/2017 1:20,252,5,0
photo,4/21/2017 9:05,287,0,0
photo,4/20/2017 7:34,264,8,3
photo,4/20/2017 6:12,152,5,1
photo,4/20/2017 6:03,61,5,0
video,4/20/2017 5:58,172,7,7
video,4/20/2017 2:36,616,523,21
photo,4/19/2017 9:17,188,0,0
video,4/19/2017 8:02,593,309,23
photo,4/18/2017 1:33,189,2,0
photo,4/17/2017 1:41,178,5,0
photo,4/14/2017 9:19,318,7,0
photo,4/12/2017 22:27,362,9,0
photo,4/12/2017 0:17,48,6,0
photo,4/12/2017 0:15,248,1,0
photo,4/11/2017 5:11,520,2,0
photo,4/11/2017 1:51,97,8,2
photo,4/9/2017 3:51,400,16,0
photo,4/8/2017 11:38,218,0,0
photo,4/8/2017 9:51,77,13,4
photo,4/8/2017 1:09,204,4,0
photo,4/7/2017 0:08,405,6,0
photo,4/6/2017 8:24,210,0,0
photo,4/5/2017 22:52,214,1,0
photo,4/5/2017 6:51,374,4,0
photo,4/5/2017 6:44,457,3,0
photo,4/5/2017 6:01,215,0,0
video,4/4/2017 20:19,7,5,0
photo,4/3/2017 9:06,38,6,3
photo,4/1/2017 9:13,168,1,0
photo,4/1/2017 8:34,277,0,0
photo,3/31/2017 10:29,196,1,0
photo,3/31/2017 4:04,100,3,0
photo,3/30/2017 10:11,85,4,0
photo,3/29/2017 9:13,34,10,6
photo,3/27/2017 7:30,41,9,0
photo,3/27/2017 7:28,23,5,1
video,3/26/2017 0:47,217,24,5
photo,3/25/2017 1:22,161,9,2
photo,3/24/2017 23:03,279,0,0
photo,3/23/2017 8:13,97,9,3
photo,3/22/2017 21:06,489,3,0
photo,3/22/2017 4:00,245,4,0
photo,3/21/2017 8:48,270,5,0
photo,3/21/2017 5:14,166,11,1
video,3/21/2017 1:20,121,18,3
photo,3/21/2017 0:24,33,9,1
photo,3/21/2017 0:23,72,1,0
photo,3/21/2017 0:13,174,0,0
photo,3/20/2017 23:19,192,0,0
video,3/20/2017 22:50,286,61,5
photo,3/20/2017 21:46,231,0,0
photo,3/20/2017 21:46,138,1,0
photo,3/20/2017 4:56,104,6,1
photo,3/20/2017 4:43,91,10,4
photo,3/19/2017 21:39,682,22,0
video,3/18/2017 9:09,1379,769,69
photo,3/18/2017 5:10,629,16,1
video,3/15/2017 5:51,58,4,3
photo,3/14/2017 9:10,272,9,0
photo,3/14/2017 0:42,213,2,2
photo,3/13/2017 0:46,225,2,0
photo,3/12/2017 23:45,463,48,2
photo,3/12/2017 2:52,285,7,0
photo,3/12/2017 1:41,526,18,0
photo,3/11/2017 23:26,418,4,0
photo,3/11/2017 8:04,515,10,0
photo,3/11/2017 8:02,377,5,0
photo,3/11/2017 3:13,1186,37,1
video,3/9/2017 22:56,591,560,49
photo,3/5/2017 10:03,424,8,1
photo,3/4/2017 12:13,119,16,0
photo,3/4/2017 9:33,67,9,0
photo,3/4/2017 9:22,439,10,3
status,3/4/2017 9:22,1043,117,24
photo,3/4/2017 9:17,690,10,0
status,3/2/2017 0:52,84,7,1
photo,3/1/2017 1:27,491,16,0
photo,2/28/2017 2:45,63,1,0
link,2/27/2017 10:53,46,3,1
photo,2/24/2017 9:12,320,17,0
video,2/22/2017 2:51,51,8,6
photo,2/20/2017 1:13,85,9,2
photo,2/20/2017 1:02,99,13,0
photo,2/17/2017 22:28,213,13,1
photo,2/16/2017 5:37,156,12,0
video,2/15/2017 9:11,204,128,4
photo,2/15/2017 3:08,246,8,0
photo,2/14/2017 7:41,225,2,0
video,2/14/2017 4:01,256,427,30
photo,2/14/2017 0:17,146,1,0
photo,2/13/2017 1:54,212,0,1
photo,2/12/2017 1:05,229,3,0
photo,2/11/2017 4:26,66,2,0
photo,2/11/2017 4:22,158,0,0
photo,2/10/2017 23:58,301,7,0
video,2/10/2017 22:58,88,1,0
video,2/10/2017 22:43,148,54,2
photo,2/9/2017 23:35,398,11,0
photo,2/9/2017 3:00,89,4,0
photo,2/9/2017 3:00,151,0,0
photo,2/8/2017 21:30,155,5,0
video,2/8/2017 7:20,109,13,0
video,2/7/2017 23:56,117,16,0
video,2/7/2017 23:54,112,7,0
photo,2/7/2017 23:26,132,3,0
photo,2/7/2017 23:25,149,3,0
photo,2/7/2017 12:37,274,9,0
video,2/7/2017 11:54,195,95,5
video,2/7/2017 1:35,138,25,2
video,2/6/2017 9:52,627,266,8
photo,2/2/2017 5:18,289,23,0
photo,2/1/2017 6:25,209,10,0
video,2/1/2017 1:49,162,75,6
photo,1/31/2017 5:46,265,11,0
photo,1/30/2017 8:20,301,10,0
photo,1/29/2017 1:43,213,5,0
photo,1/29/2017 1:41,210,3,0
photo,1/27/2017 21:41,408,11,0
photo,1/20/2017 8:15,223,6,0
photo,1/20/2017 0:05,359,4,0
photo,1/19/2017 20:31,535,2,0
photo,1/18/2017 5:09,362,10,0
video,1/16/2017 8:09,266,165,10
photo,1/15/2017 9:45,156,2,0
video,1/15/2017 4:01,110,21,0
video,1/14/2017 22:34,446,6148,120
status,1/14/2017 21:23,102,1,0
photo,1/14/2017 6:34,161,6,0
photo,1/14/2017 5:44,279,8,0
photo,1/13/2017 4:16,288,6,0
photo,1/11/2017 23:58,230,8,0
photo,1/11/2017 0:23,271,12,0
photo,1/11/2017 0:21,113,2,1
video,1/10/2017 1:40,256,103,16
photo,1/8/2017 9:15,306,4,0
photo,1/8/2017 9:03,566,10,0
photo,1/8/2017 7:44,186,1,1
video,1/8/2017 7:40,135,9,2
video,1/8/2017 6:30,174,195,3
video,1/7/2017 23:09,171,84,4
photo,1/7/2017 5:04,373,8,0
photo,1/7/2017 1:52,403,5,0
photo,1/6/2017 5:10,139,14,0
photo,1/6/2017 4:29,148,16,5
photo,1/3/2017 3:55,270,8,0
photo,1/2/2017 21:13,343,8,0
photo,1/2/2017 8:25,254,5,0
photo,12/31/2016 5:13,304,9,6
photo,12/30/2016 9:37,437,6,0
photo,12/29/2016 6:26,412,4,2
photo,12/26/2016 22:07,183,11,0
photo,12/26/2016 8:50,353,8,2
photo,12/26/2016 5:17,144,14,1
photo,12/26/2016 4:28,905,10,5
video,12/25/2016 6:17,151,19,2
photo,12/25/2016 0:26,276,4,0
photo,12/24/2016 7:59,227,3,4
video,12/24/2016 0:15,340,1201,47
photo,12/23/2016 23:17,478,12,0
photo,12/23/2016 9:10,189,22,2
photo,12/22/2016 23:15,211,7,0
photo,12/22/2016 2:06,296,2,0
video,12/22/2016 1:07,113,15,1
photo,12/21/2016 23:08,113,2,0
video,12/21/2016 22:53,133,19,2
photo,12/21/2016 22:27,223,3,0
photo,12/21/2016 10:13,322,8,1
photo,12/21/2016 5:59,235,3,0
photo,12/21/2016 5:45,163,1,0
photo,12/21/2016 5:36,373,4,3
video,12/21/2016 4:24,249,147,8
photo,12/21/2016 3:42,129,2,0
photo,12/21/2016 0:58,245,7,0
photo,12/21/2016 0:10,272,9,0
video,12/20/2016 23:43,239,127,7
photo,12/20/2016 8:47,135,9,1
photo,12/20/2016 8:20,333,44,0
photo,12/20/2016 3:45,96,3,0
photo,12/20/2016 3:25,210,7,0
video,12/20/2016 1:42,154,72,6
photo,12/20/2016 0:57,192,8,0
photo,12/19/2016 20:32,152,2,0
photo,12/19/2016 8:33,222,3,0
photo,12/19/2016 7:09,227,1,0
photo,12/18/2016 21:12,542,21,1
video,12/18/2016 1:44,279,274,15
photo,12/18/2016 1:19,263,8,0
video,12/15/2016 2:19,358,5498,94
video,12/15/2016 0:00,65,4,1
photo,12/12/2016 10:43,190,11,1
photo,12/11/2016 11:14,320,4,1
photo,12/10/2016 2:19,266,8,0
video,12/9/2016 21:48,452,19013,161
status,12/9/2016 10:44,123,23,0
video,12/9/2016 9:29,543,4661,178
photo,12/8/2016 23:57,278,8,0
video,12/8/2016 21:11,445,432,27
photo,12/8/2016 6:58,196,7,8
video,12/8/2016 4:21,607,383,52
photo,12/8/2016 3:22,180,4,0
photo,12/8/2016 2:38,236,8,0
status,12/7/2016 9:30,93,2,1
video,12/7/2016 5:01,48,6,0
video,12/7/2016 4:39,245,169,37
status,12/5/2016 0:56,225,12,29
photo,12/4/2016 9:58,133,4,2
photo,12/4/2016 9:58,170,11,2
photo,12/2/2016 1:12,304,13,0
photo,12/2/2016 1:10,150,5,0
photo,12/1/2016 12:35,387,8,0
video,11/30/2016 8:46,564,20990,154
photo,11/27/2016 6:06,261,36,1
photo,11/26/2016 4:51,477,12,0
photo,11/22/2016 0:03,154,19,7
photo,11/20/2016 7:05,130,13,2
photo,11/17/2016 20:56,307,0,0
photo,11/15/2016 4:07,113,12,5
photo,11/13/2016 23:43,77,4,2
video,11/13/2016 1:35,38,4,0
photo,11/12/2016 1:15,209,9,0
photo,11/7/2016 0:51,99,0,3
video,11/7/2016 0:35,119,8,2
photo,10/29/2016 23:56,182,2,21
photo,10/27/2016 20:26,155,1,4
video,10/27/2016 20:14,86,0,0
video,10/27/2016 20:12,124,0,0
video,10/26/2016 10:48,221,1,0
photo,10/26/2016 0:00,52,0,0
video,10/25/2016 23:51,38,7,1
photo,10/25/2016 23:50,2,0,37
photo,10/25/2016 11:23,347,0,1
photo,10/25/2016 9:55,99,0,30
photo,10/25/2016 4:56,210,0,6
photo,10/25/2016 2:51,178,0,0
photo,10/25/2016 1:23,149,0,1
photo,10/23/2016 20:41,77,0,1
link,10/23/2016 20:39,169,0,57
link,10/23/2016 9:51,237,0,0
photo,10/23/2016 9:36,86,0,3
photo,10/23/2016 9:32,120,0,2
photo,10/23/2016 9:30,234,0,0
photo,10/23/2016 4:23,280,0,1
photo,10/22/2016 4:29,319,5,0
video,10/22/2016 2:12,171,0,0
photo,10/22/2016 1:34,251,5,0
video,10/21/2016 10:59,135,0,0
photo,10/20/2016 10:10,1,0,37
photo,10/20/2016 10:07,1,0,1
photo,10/20/2016 8:26,264,2,0
photo,10/20/2016 5:10,218,2,5
photo,10/20/2016 2:07,52,0,4
video,10/20/2016 1:15,41,0,3
photo,10/20/2016 0:56,67,0,1
photo,10/19/2016 22:23,266,9,1
photo,10/19/2016 20:12,165,0,0
video,10/19/2016 12:54,70,0,0
photo,10/19/2016 6:03,247,1,0
photo,10/19/2016 5:48,379,0,0
photo,10/19/2016 0:28,305,1,0
photo,10/18/2016 23:49,26,0,0
photo,10/18/2016 23:48,28,0,0
photo,10/18/2016 22:51,37,0,0
photo,10/18/2016 22:12,46,0,0
photo,10/18/2016 8:42,164,2,13
photo,10/18/2016 5:50,282,0,0
status,10/18/2016 0:10,61,5,0
photo,10/18/2016 0:07,68,3,0
photo,10/17/2016 20:12,73,1,17
photo,10/17/2016 20:08,641,0,0
photo,10/17/2016 10:10,122,0,0
photo,10/17/2016 2:31,654,1,50
photo,10/16/2016 23:29,245,2,0
photo,10/16/2016 21:45,173,0,0
photo,10/16/2016 19:31,64,0,1
photo,10/16/2016 12:17,495,9,227
photo,10/16/2016 5:13,144,0,0
photo,10/16/2016 0:48,476,3,212
photo,10/15/2016 21:21,4,0,41
photo,10/15/2016 12:21,48,0,1
status,10/15/2016 10:03,77,1,38
photo,10/14/2016 21:42,199,0,5
status,10/14/2016 11:26,43,0,1
photo,10/14/2016 10:16,30,0,0
photo,10/14/2016 4:56,190,1,0
photo,10/14/2016 1:39,96,0,5
photo,10/14/2016 0:27,295,3,10
photo,10/13/2016 19:49,102,0,1
photo,10/13/2016 13:27,52,0,2
photo,10/13/2016 8:14,71,0,5
photo,10/13/2016 7:57,95,1,2
photo,10/11/2016 9:40,132,10,1
video,10/11/2016 5:58,63,14,0
photo,10/10/2016 23:23,187,6,0
photo,10/10/2016 5:08,124,2,0
video,10/9/2016 6:07,296,80,5
video,10/9/2016 0:09,268,46,0
photo,10/6/2016 23:30,156,4,0
photo,10/6/2016 6:34,148,26,0
photo,10/4/2016 0:12,195,14,0
photo,9/30/2016 5:35,229,7,0
video,9/30/2016 5:26,111,4,0
video,9/30/2016 1:53,169,34,1
photo,9/29/2016 7:53,127,6,0
video,9/28/2016 2:06,139,27,0
status,9/26/2016 2:31,60,8,4
video,9/26/2016 1:03,109,5,1
photo,9/24/2016 5:17,148,4,0
link,9/24/2016 2:03,46,3,1
video,9/23/2016 5:21,93,14,4
photo,9/22/2016 3:01,164,17,1
link,9/21/2016 23:18,33,4,4
photo,9/20/2016 0:03,153,19,1
photo,9/19/2016 22:49,173,1,58
photo,9/19/2016 5:19,168,1,1
video,9/19/2016 3:55,51,10,1
photo,9/18/2016 8:58,198,4,6
video,9/17/2016 23:49,44,3,7
video,9/16/2016 23:28,43,4,12
photo,9/14/2016 4:04,105,3,3
photo,9/13/2016 7:31,272,5,4
photo,9/13/2016 1:43,148,9,6
photo,9/12/2016 9:20,91,13,14
video,9/11/2016 21:51,188,26,3
photo,9/9/2016 19:03,60,3,0
photo,9/6/2016 1:33,110,2,0
status,9/4/2016 1:07,101,6,0
photo,9/1/2016 2:35,122,18,20
photo,8/31/2016 22:46,105,4,1
photo,8/31/2016 22:45,56,1,0
photo,8/29/2016 22:49,219,5,0
video,8/29/2016 9:23,87,1,1
photo,8/28/2016 0:36,109,3,0
photo,8/28/2016 0:34,50,1,1
video,8/27/2016 5:35,173,16,0
photo,8/26/2016 3:10,101,1,0
video,8/25/2016 7:05,105,8,2
video,8/25/2016 5:08,89,4,1
photo,8/25/2016 4:31,101,1,2
photo,8/25/2016 4:31,90,4,1
video,8/25/2016 4:07,113,27,0
photo,8/23/2016 9:17,126,6,2
photo,8/21/2016 22:30,441,31,2
video,8/21/2016 7:42,302,186,3
video,8/21/2016 0:46,185,40,2
video,8/20/2016 0:57,155,33,0
photo,8/16/2016 8:29,177,7,1
video,8/13/2016 9:14,309,102,1
photo,8/12/2016 8:20,326,2,1
photo,8/12/2016 2:24,265,6,0
photo,8/10/2016 23:49,199,8,1
video,8/10/2016 6:24,226,93,3
photo,8/9/2016 23:59,129,5,0
link,8/8/2016 22:38,63,11,1
photo,8/6/2016 21:51,185,1,0
video,8/6/2016 9:28,54,0,0
photo,8/6/2016 2:27,167,4,0
photo,8/5/2016 9:15,53,3,0
photo,8/4/2016 5:51,352,4,0
photo,8/2/2016 4:05,185,3,1
video,8/2/2016 2:43,198,30,3
status,8/2/2016 0:46,59,1,0
status,8/1/2016 3:30,49,1,0
photo,8/1/2016 2:55,126,4,1
photo,8/1/2016 2:53,120,1,1
video,8/1/2016 0:42,180,120,0
video,7/31/2016 23:30,85,0,0
photo,7/31/2016 3:51,230,6,0
video,7/29/2016 22:33,248,52,1
photo,7/29/2016 0:59,297,8,0
photo,7/28/2016 3:56,158,6,0
photo,7/28/2016 1:09,124,3,0
photo,7/28/2016 0:54,213,1,0
photo,7/26/2016 20:43,114,0,20
photo,7/23/2016 9:59,182,10,0
photo,7/23/2016 6:25,178,14,1
photo,7/22/2016 2:34,166,0,0
photo,7/21/2016 9:12,143,5,0
photo,7/20/2016 12:06,170,3,17
photo,7/18/2016 10:43,196,5,0
photo,7/16/2016 6:37,103,0,0
video,7/16/2016 6:22,114,11,0
photo,7/16/2016 0:15,136,6,0
status,7/15/2016 22:39,53,3,1
status,7/15/2016 21:55,63,0,3
video,7/15/2016 1:50,150,14,0
status,7/14/2016 8:56,154,8,0
photo,7/14/2016 3:44,114,21,0
photo,7/13/2016 7:41,139,4,0
photo,7/13/2016 7:39,96,1,0
photo,7/11/2016 8:20,177,15,0
photo,7/10/2016 9:56,320,6,60
photo,7/10/2016 6:04,336,154,111
photo,7/8/2016 10:51,54,2,4
status,7/8/2016 10:29,74,1,0
photo,7/8/2016 10:27,79,2,0
status,7/5/2016 9:28,50,10,0
photo,7/4/2016 23:31,183,13,0
photo,7/3/2016 7:35,73,12,0
photo,7/3/2016 4:27,103,15,0
photo,7/2/2016 23:05,90,2,0
photo,7/2/2016 3:02,124,13,2
status,6/29/2016 22:47,90,14,0
photo,6/29/2016 8:30,303,11,0
photo,6/28/2016 9:14,309,10,0
video,6/27/2016 10:07,220,52,1
photo,6/27/2016 7:42,126,0,1
photo,6/25/2016 9:55,928,53,0
video,6/25/2016 1:23,391,136,0
status,6/24/2016 9:28,150,2,1
photo,6/24/2016 9:25,223,1,1
photo,6/24/2016 6:41,174,2,0
photo,6/24/2016 5:02,0,0,1
photo,6/19/2016 23:23,102,1,1
photo,6/18/2016 5:20,344,20,0
video,6/16/2016 4:26,135,26,0
photo,6/15/2016 3:37,334,13,1
photo,6/13/2016 12:40,49,3,0
photo,6/12/2016 5:21,404,17,0
photo,6/12/2016 2:51,185,5,0
video,6/12/2016 1:52,354,184,1
